farm,asset_id,component,tbf_days,censored,interval_start,interval_end,interval_type
B,7,Mechanical Brake,4050.9583333333335,True,2017-08-31 00:00:00,2028-10-02 23:00:00,zero_failures_censored
B,11,Mechanical Brake,1450.2916666666667,True,2024-02-02 00:00:00,2028-01-22 07:00:00,zero_failures_censored
B,12,Mechanical Brake,2909.0486111111113,True,2018-05-30 00:00:00,2026-05-17 01:10:00,zero_failures_censored
B,13,Mechanical Brake,420.18055555555554,True,2025-06-29 00:00:00,2026-08-23 04:20:00,zero_failures_censored
B,14,Mechanical Brake,3262.0,True,2018-08-25 00:00:00,2027-07-31 00:00:00,zero_failures_censored
C,2,Mechanical Brake,3624.7986111111113,True,2015-08-16 19:50:00,2025-07-19 15:00:00,zero_failures_censored
C,5,Mechanical Brake,384.0,True,2024-03-05 01:10:00,2025-03-24 01:10:00,zero_failures_censored
C,12,Mechanical Brake,4009.5416666666665,True,2018-02-05 00:00:00,2029-01-27 13:00:00,zero_failures_censored
C,13,Mechanical Brake,381.0,True,2027-03-07 02:00:00,2028-03-22 02:00:00,zero_failures_censored
C,14,Mechanical Brake,376.0,True,2028-01-11 13:10:00,2029-01-21 13:10:00,zero_failures_censored
C,15,Mechanical Brake,2258.4791666666665,True,2021-07-29 13:00:00,2027-10-05 00:30:00,zero_failures_censored
C,16,Mechanical Brake,3352.472222222222,True,2018-11-03 04:20:00,2028-01-07 15:40:00,zero_failures_censored
C,21,Mechanical Brake,3975.9930555555557,True,2017-12-23 15:00:00,2028-11-11 14:50:00,zero_failures_censored
C,23,Mechanical Brake,4175.659722222223,True,2017-10-07 02:10:00,2029-03-13 18:00:00,zero_failures_censored
C,32,Mechanical Brake,399.0,True,2019-02-02 00:00:00,2020-03-07 00:00:00,zero_failures_censored
C,33,Mechanical Brake,3241.7708333333335,True,2019-03-30 00:00:00,2028-02-12 18:30:00,zero_failures_censored
C,34,Mechanical Brake,2628.972222222222,True,2019-06-11 10:40:00,2026-08-22 10:00:00,zero_failures_censored
C,35,Mechanical Brake,4554.638888888889,True,2014-10-13 08:40:00,2027-04-03 00:00:00,zero_failures_censored
C,42,Mechanical Brake,1464.826388888889,True,2021-10-10 09:30:00,2025-10-14 05:20:00,zero_failures_censored
C,43,Mechanical Brake,3054.5416666666665,True,2016-05-05 00:00:00,2024-09-14 13:00:00,zero_failures_censored
C,44,Mechanical Brake,2486.8819444444443,True,2015-08-03 14:00:00,2022-05-25 11:10:00,zero_failures_censored
C,50,Mechanical Brake,2505.7916666666665,True,2017-10-27 11:30:00,2024-09-06 06:30:00,zero_failures_censored
C,52,Mechanical Brake,1048.5902777777778,True,2021-10-16 13:00:00,2024-08-30 03:10:00,zero_failures_censored
C,53,Mechanical Brake,3286.9930555555557,True,2019-01-07 00:00:00,2028-01-06 23:50:00,zero_failures_censored
C,55,Mechanical Brake,4664.923611111111,True,2016-08-02 07:30:00,2029-05-11 05:40:00,zero_failures_censored
C,56,Mechanical Brake,4064.7638888888887,True,2015-07-06 23:10:00,2026-08-22 17:30:00,zero_failures_censored
A,0,Hydraulic System,1015.4305555555555,False,2017-12-31 00:00:00,2020-10-11 10:20:00,time_to_first_failure
A,0,Hydraulic System,693.2152777777778,False,2020-10-11 10:20:00,2022-09-04 15:30:00,inter_failure
A,0,Hydraulic System,286.84027777777777,True,2022-09-04 15:30:00,2023-06-18 11:40:00,censored_at_observation_end
A,10,Hydraulic System,2382.3958333333335,False,2013-10-10 08:40:00,2020-04-18 18:10:00,time_to_first_failure
A,10,Hydraulic System,1237.9027777777778,False,2020-04-18 18:10:00,2023-09-08 15:50:00,inter_failure
A,10,Hydraulic System,11.0,True,2023-09-08 15:50:00,2023-09-19 15:50:00,censored_at_observation_end
A,11,Hydraulic System,3236.9305555555557,False,2014-07-29 13:20:00,2023-06-09 11:40:00,time_to_first_failure
A,11,Hydraulic System,102.54861111111111,True,2023-06-09 11:40:00,2023-09-20 00:50:00,censored_at_observation_end
A,21,Hydraulic System,2502.347222222222,False,2014-10-05 01:30:00,2021-08-11 09:50:00,time_to_first_failure
A,21,Hydraulic System,651.0208333333334,True,2021-08-11 09:50:00,2023-05-24 10:20:00,censored_at_observation_end
A,13,Hydraulic System,1244.888888888889,True,2019-04-16 18:10:00,2022-09-12 15:30:00,zero_failures_censored
B,0,Hydraulic System,374.0,True,2019-09-23 20:10:00,2020-10-01 20:10:00,zero_failures_censored
B,2,Hydraulic System,463.0,True,2025-06-28 00:00:00,2026-10-04 00:00:00,zero_failures_censored
B,5,Hydraulic System,382.0,True,2027-09-22 23:00:00,2028-10-08 23:00:00,zero_failures_censored
B,6,Hydraulic System,2833.7986111111113,True,2018-12-27 16:40:00,2026-09-30 11:50:00,zero_failures_censored
B,7,Hydraulic System,4050.9583333333335,True,2017-08-31 00:00:00,2028-10-02 23:00:00,zero_failures_censored
B,11,Hydraulic System,1450.2916666666667,True,2024-02-02 00:00:00,2028-01-22 07:00:00,zero_failures_censored
B,12,Hydraulic System,2909.0486111111113,True,2018-05-30 00:00:00,2026-05-17 01:10:00,zero_failures_censored
B,13,Hydraulic System,420.18055555555554,True,2025-06-29 00:00:00,2026-08-23 04:20:00,zero_failures_censored
B,14,Hydraulic System,3262.0,True,2018-08-25 00:00:00,2027-07-31 00:00:00,zero_failures_censored
C,2,Hydraulic System,3624.7986111111113,True,2015-08-16 19:50:00,2025-07-19 15:00:00,zero_failures_censored
C,5,Hydraulic System,384.0,True,2024-03-05 01:10:00,2025-03-24 01:10:00,zero_failures_censored
C,12,Hydraulic System,4009.5416666666665,True,2018-02-05 00:00:00,2029-01-27 13:00:00,zero_failures_censored
C,13,Hydraulic System,381.0,True,2027-03-07 02:00:00,2028-03-22 02:00:00,zero_failures_censored
C,14,Hydraulic System,376.0,True,2028-01-11 13:10:00,2029-01-21 13:10:00,zero_failures_censored
C,15,Hydraulic System,2258.4791666666665,True,2021-07-29 13:00:00,2027-10-05 00:30:00,zero_failures_censored
C,16,Hydraulic System,3352.472222222222,True,2018-11-03 04:20:00,2028-01-07 15:40:00,zero_failures_censored
C,21,Hydraulic System,3975.9930555555557,True,2017-12-23 15:00:00,2028-11-11 14:50:00,zero_failures_censored
C,23,Hydraulic System,4175.659722222223,True,2017-10-07 02:10:00,2029-03-13 18:00:00,zero_failures_censored
C,32,Hydraulic System,399.0,True,2019-02-02 00:00:00,2020-03-07 00:00:00,zero_failures_censored
C,33,Hydraulic System,3241.7708333333335,True,2019-03-30 00:00:00,2028-02-12 18:30:00,zero_failures_censored
C,34,Hydraulic System,2628.972222222222,True,2019-06-11 10:40:00,2026-08-22 10:00:00,zero_failures_censored
C,35,Hydraulic System,4554.638888888889,True,2014-10-13 08:40:00,2027-04-03 00:00:00,zero_failures_censored
C,38,Hydraulic System,2587.8888888888887,True,2018-11-16 01:30:00,2025-12-16 22:50:00,zero_failures_censored
C,42,Hydraulic System,1464.826388888889,True,2021-10-10 09:30:00,2025-10-14 05:20:00,zero_failures_censored
C,43,Hydraulic System,3054.5416666666665,True,2016-05-05 00:00:00,2024-09-14 13:00:00,zero_failures_censored
C,44,Hydraulic System,2486.8819444444443,True,2015-08-03 14:00:00,2022-05-25 11:10:00,zero_failures_censored
C,50,Hydraulic System,2505.7916666666665,True,2017-10-27 11:30:00,2024-09-06 06:30:00,zero_failures_censored
C,52,Hydraulic System,1048.5902777777778,True,2021-10-16 13:00:00,2024-08-30 03:10:00,zero_failures_censored
C,53,Hydraulic System,3286.9930555555557,True,2019-01-07 00:00:00,2028-01-06 23:50:00,zero_failures_censored
C,55,Hydraulic System,4664.923611111111,True,2016-08-02 07:30:00,2029-05-11 05:40:00,zero_failures_censored
C,56,Hydraulic System,4064.7638888888887,True,2015-07-06 23:10:00,2026-08-22 17:30:00,zero_failures_censored
C,16,Converter,2150.8194444444443,False,2018-11-03 04:20:00,2024-09-23 00:00:00,time_to_first_failure
C,16,Converter,1201.6527777777778,True,2024-09-23 00:00:00,2028-01-07 15:40:00,censored_at_observation_end
C,38,Converter,366.0,False,2018-11-16 01:30:00,2019-11-17 01:30:00,time_to_first_failure
C,38,Converter,2221.8888888888887,True,2019-11-17 01:30:00,2025-12-16 22:50:00,censored_at_observation_end
A,0,Converter,1995.486111111111,True,2017-12-31 00:00:00,2023-06-18 11:40:00,zero_failures_censored
A,10,Converter,3631.2986111111113,True,2013-10-10 08:40:00,2023-09-19 15:50:00,zero_failures_censored
A,11,Converter,3339.4791666666665,True,2014-07-29 13:20:00,2023-09-20 00:50:00,zero_failures_censored
A,13,Converter,1244.888888888889,True,2019-04-16 18:10:00,2022-09-12 15:30:00,zero_failures_censored
A,21,Converter,3153.3680555555557,True,2014-10-05 01:30:00,2023-05-24 10:20:00,zero_failures_censored
B,0,Converter,374.0,True,2019-09-23 20:10:00,2020-10-01 20:10:00,zero_failures_censored
B,2,Converter,463.0,True,2025-06-28 00:00:00,2026-10-04 00:00:00,zero_failures_censored
B,5,Converter,382.0,True,2027-09-22 23:00:00,2028-10-08 23:00:00,zero_failures_censored
B,6,Converter,2833.7986111111113,True,2018-12-27 16:40:00,2026-09-30 11:50:00,zero_failures_censored
B,7,Converter,4050.9583333333335,True,2017-08-31 00:00:00,2028-10-02 23:00:00,zero_failures_censored
B,11,Converter,1450.2916666666667,True,2024-02-02 00:00:00,2028-01-22 07:00:00,zero_failures_censored
B,12,Converter,2909.0486111111113,True,2018-05-30 00:00:00,2026-05-17 01:10:00,zero_failures_censored
B,13,Converter,420.18055555555554,True,2025-06-29 00:00:00,2026-08-23 04:20:00,zero_failures_censored
B,14,Converter,3262.0,True,2018-08-25 00:00:00,2027-07-31 00:00:00,zero_failures_censored
C,2,Converter,3624.7986111111113,True,2015-08-16 19:50:00,2025-07-19 15:00:00,zero_failures_censored
C,5,Converter,384.0,True,2024-03-05 01:10:00,2025-03-24 01:10:00,zero_failures_censored
C,12,Converter,4009.5416666666665,True,2018-02-05 00:00:00,2029-01-27 13:00:00,zero_failures_censored
C,13,Converter,381.0,True,2027-03-07 02:00:00,2028-03-22 02:00:00,zero_failures_censored
C,14,Converter,376.0,True,2028-01-11 13:10:00,2029-01-21 13:10:00,zero_failures_censored
C,15,Converter,2258.4791666666665,True,2021-07-29 13:00:00,2027-10-05 00:30:00,zero_failures_censored
C,21,Converter,3975.9930555555557,True,2017-12-23 15:00:00,2028-11-11 14:50:00,zero_failures_censored
C,23,Converter,4175.659722222223,True,2017-10-07 02:10:00,2029-03-13 18:00:00,zero_failures_censored
C,32,Converter,399.0,True,2019-02-02 00:00:00,2020-03-07 00:00:00,zero_failures_censored
C,33,Converter,3241.7708333333335,True,2019-03-30 00:00:00,2028-02-12 18:30:00,zero_failures_censored
C,34,Converter,2628.972222222222,True,2019-06-11 10:40:00,2026-08-22 10:00:00,zero_failures_censored
C,35,Converter,4554.638888888889,True,2014-10-13 08:40:00,2027-04-03 00:00:00,zero_failures_censored
C,42,Converter,1464.826388888889,True,2021-10-10 09:30:00,2025-10-14 05:20:00,zero_failures_censored
C,43,Converter,3054.5416666666665,True,2016-05-05 00:00:00,2024-09-14 13:00:00,zero_failures_censored
C,44,Converter,2486.8819444444443,True,2015-08-03 14:00:00,2022-05-25 11:10:00,zero_failures_censored
C,50,Converter,2505.7916666666665,True,2017-10-27 11:30:00,2024-09-06 06:30:00,zero_failures_censored
C,52,Converter,1048.5902777777778,True,2021-10-16 13:00:00,2024-08-30 03:10:00,zero_failures_censored
C,53,Converter,3286.9930555555557,True,2019-01-07 00:00:00,2028-01-06 23:50:00,zero_failures_censored
C,55,Converter,4664.923611111111,True,2016-08-02 07:30:00,2029-05-11 05:40:00,zero_failures_censored
C,56,Converter,4064.7638888888887,True,2015-07-06 23:10:00,2026-08-22 17:30:00,zero_failures_censored
A,10,Transformer,657.1944444444445,False,2013-10-10 08:40:00,2015-07-29 13:20:00,time_to_first_failure
A,10,Transformer,2974.1041666666665,True,2015-07-29 13:20:00,2023-09-19 15:50:00,censored_at_observation_end
C,12,Transformer,3283.0,False,2018-02-05 00:00:00,2027-02-01 00:00:00,time_to_first_failure
C,12,Transformer,726.5416666666666,True,2027-02-01 00:00:00,2029-01-27 13:00:00,censored_at_observation_end
A,0,Transformer,1995.486111111111,True,2017-12-31 00:00:00,2023-06-18 11:40:00,zero_failures_censored
A,11,Transformer,3339.4791666666665,True,2014-07-29 13:20:00,2023-09-20 00:50:00,zero_failures_censored
A,13,Transformer,1244.888888888889,True,2019-04-16 18:10:00,2022-09-12 15:30:00,zero_failures_censored
A,21,Transformer,3153.3680555555557,True,2014-10-05 01:30:00,2023-05-24 10:20:00,zero_failures_censored
B,0,Transformer,374.0,True,2019-09-23 20:10:00,2020-10-01 20:10:00,zero_failures_censored
B,2,Transformer,463.0,True,2025-06-28 00:00:00,2026-10-04 00:00:00,zero_failures_censored
B,5,Transformer,382.0,True,2027-09-22 23:00:00,2028-10-08 23:00:00,zero_failures_censored
B,6,Transformer,2833.7986111111113,True,2018-12-27 16:40:00,2026-09-30 11:50:00,zero_failures_censored
B,7,Transformer,4050.9583333333335,True,2017-08-31 00:00:00,2028-10-02 23:00:00,zero_failures_censored
B,11,Transformer,1450.2916666666667,True,2024-02-02 00:00:00,2028-01-22 07:00:00,zero_failures_censored
B,12,Transformer,2909.0486111111113,True,2018-05-30 00:00:00,2026-05-17 01:10:00,zero_failures_censored
B,13,Transformer,420.18055555555554,True,2025-06-29 00:00:00,2026-08-23 04:20:00,zero_failures_censored
B,14,Transformer,3262.0,True,2018-08-25 00:00:00,2027-07-31 00:00:00,zero_failures_censored
C,2,Transformer,3624.7986111111113,True,2015-08-16 19:50:00,2025-07-19 15:00:00,zero_failures_censored
C,5,Transformer,384.0,True,2024-03-05 01:10:00,2025-03-24 01:10:00,zero_failures_censored
C,13,Transformer,381.0,True,2027-03-07 02:00:00,2028-03-22 02:00:00,zero_failures_censored
C,14,Transformer,376.0,True,2028-01-11 13:10:00,2029-01-21 13:10:00,zero_failures_censored
C,15,Transformer,2258.4791666666665,True,2021-07-29 13:00:00,2027-10-05 00:30:00,zero_failures_censored
C,16,Transformer,3352.472222222222,True,2018-11-03 04:20:00,2028-01-07 15:40:00,zero_failures_censored
C,21,Transformer,3975.9930555555557,True,2017-12-23 15:00:00,2028-11-11 14:50:00,zero_failures_censored
C,23,Transformer,4175.659722222223,True,2017-10-07 02:10:00,2029-03-13 18:00:00,zero_failures_censored
C,32,Transformer,399.0,True,2019-02-02 00:00:00,2020-03-07 00:00:00,zero_failures_censored
C,33,Transformer,3241.7708333333335,True,2019-03-30 00:00:00,2028-02-12 18:30:00,zero_failures_censored
C,34,Transformer,2628.972222222222,True,2019-06-11 10:40:00,2026-08-22 10:00:00,zero_failures_censored
C,35,Transformer,4554.638888888889,True,2014-10-13 08:40:00,2027-04-03 00:00:00,zero_failures_censored
C,38,Transformer,2587.8888888888887,True,2018-11-16 01:30:00,2025-12-16 22:50:00,zero_failures_censored
C,42,Transformer,1464.826388888889,True,2021-10-10 09:30:00,2025-10-14 05:20:00,zero_failures_censored
C,43,Transformer,3054.5416666666665,True,2016-05-05 00:00:00,2024-09-14 13:00:00,zero_failures_censored
C,44,Transformer,2486.8819444444443,True,2015-08-03 14:00:00,2022-05-25 11:10:00,zero_failures_censored
C,50,Transformer,2505.7916666666665,True,2017-10-27 11:30:00,2024-09-06 06:30:00,zero_failures_censored
C,52,Transformer,1048.5902777777778,True,2021-10-16 13:00:00,2024-08-30 03:10:00,zero_failures_censored
C,53,Transformer,3286.9930555555557,True,2019-01-07 00:00:00,2028-01-06 23:50:00,zero_failures_censored
C,55,Transformer,4664.923611111111,True,2016-08-02 07:30:00,2029-05-11 05:40:00,zero_failures_censored
C,56,Transformer,4064.7638888888887,True,2015-07-06 23:10:00,2026-08-22 17:30:00,zero_failures_censored
C,55,Yaw System,368.0,False,2016-08-02 07:30:00,2017-08-05 07:30:00,time_to_first_failure
C,55,Yaw System,4296.923611111111,True,2017-08-05 07:30:00,2029-05-11 05:40:00,censored_at_observation_end
A,0,Yaw System,1995.486111111111,True,2017-12-31 00:00:00,2023-06-18 11:40:00,zero_failures_censored
A,10,Yaw System,3631.2986111111113,True,2013-10-10 08:40:00,2023-09-19 15:50:00,zero_failures_censored
A,11,Yaw System,3339.4791666666665,True,2014-07-29 13:20:00,2023-09-20 00:50:00,zero_failures_censored
A,13,Yaw System,1244.888888888889,True,2019-04-16 18:10:00,2022-09-12 15:30:00,zero_failures_censored
A,21,Yaw System,3153.3680555555557,True,2014-10-05 01:30:00,2023-05-24 10:20:00,zero_failures_censored
B,0,Yaw System,374.0,True,2019-09-23 20:10:00,2020-10-01 20:10:00,zero_failures_censored
B,2,Yaw System,463.0,True,2025-06-28 00:00:00,2026-10-04 00:00:00,zero_failures_censored
B,5,Yaw System,382.0,True,2027-09-22 23:00:00,2028-10-08 23:00:00,zero_failures_censored
B,6,Yaw System,2833.7986111111113,True,2018-12-27 16:40:00,2026-09-30 11:50:00,zero_failures_censored
B,7,Yaw System,4050.9583333333335,True,2017-08-31 00:00:00,2028-10-02 23:00:00,zero_failures_censored
B,11,Yaw System,1450.2916666666667,True,2024-02-02 00:00:00,2028-01-22 07:00:00,zero_failures_censored
B,12,Yaw System,2909.0486111111113,True,2018-05-30 00:00:00,2026-05-17 01:10:00,zero_failures_censored
B,13,Yaw System,420.18055555555554,True,2025-06-29 00:00:00,2026-08-23 04:20:00,zero_failures_censored
B,14,Yaw System,3262.0,True,2018-08-25 00:00:00,2027-07-31 00:00:00,zero_failures_censored
C,2,Yaw System,3624.7986111111113,True,2015-08-16 19:50:00,2025-07-19 15:00:00,zero_failures_censored
C,5,Yaw System,384.0,True,2024-03-05 01:10:00,2025-03-24 01:10:00,zero_failures_censored
C,12,Yaw System,4009.5416666666665,True,2018-02-05 00:00:00,2029-01-27 13:00:00,zero_failures_censored
C,13,Yaw System,381.0,True,2027-03-07 02:00:00,2028-03-22 02:00:00,zero_failures_censored
C,14,Yaw System,376.0,True,2028-01-11 13:10:00,2029-01-21 13:10:00,zero_failures_censored
C,15,Yaw System,2258.4791666666665,True,2021-07-29 13:00:00,2027-10-05 00:30:00,zero_failures_censored
C,16,Yaw System,3352.472222222222,True,2018-11-03 04:20:00,2028-01-07 15:40:00,zero_failures_censored
C,21,Yaw System,3975.9930555555557,True,2017-12-23 15:00:00,2028-11-11 14:50:00,zero_failures_censored
C,23,Yaw System,4175.659722222223,True,2017-10-07 02:10:00,2029-03-13 18:00:00,zero_failures_censored
C,32,Yaw System,399.0,True,2019-02-02 00:00:00,2020-03-07 00:00:00,zero_failures_censored
C,33,Yaw System,3241.7708333333335,True,2019-03-30 00:00:00,2028-02-12 18:30:00,zero_failures_censored
C,34,Yaw System,2628.972222222222,True,2019-06-11 10:40:00,2026-08-22 10:00:00,zero_failures_censored
C,35,Yaw System,4554.638888888889,True,2014-10-13 08:40:00,2027-04-03 00:00:00,zero_failures_censored
C,38,Yaw System,2587.8888888888887,True,2018-11-16 01:30:00,2025-12-16 22:50:00,zero_failures_censored
C,42,Yaw System,1464.826388888889,True,2021-10-10 09:30:00,2025-10-14 05:20:00,zero_failures_censored
